AMBULANCIA,GUA-283I,U4,P1,3,18
POLICIA,GUA-490A,P4,L4,3,7
AMBULANCIA,GUA-296W,A4,W4,5,7
POLICIA,GUA-366L,P4,B4,4,7
AMBULANCIA,GUA-115F,F2,K4,4,14
TRANSPORTE,GUA-849L,W1,M4,3,14
AMBULANCIA,GUA-756Z,B2,T3,3,22
AMBULANCIA,GUA-201W,P3,F3,1,21
TRANSPORTE,GUA-840F,Y2,Y1,2,19
POLICIA,GUA-420O,N2,C2,2,13
PARTICULAR,GUA-663G,D1,J2,2,11
AMBULANCIA,GUA-448I,O4,U2,3,19
TRANSPORTE,GUA-730M,P2,K1,4,20
TRANSPORTE,GUA-464W,D2,J4,4,24
POLICIA,GUA-899H,A3,X4,2,23
POLICIA,GUA-652W,E4,L1,3,22
PARTICULAR,GUA-757U,S2,K3,2,11
PARTICULAR,GUA-352S,H1,U3,4,15
POLICIA,GUA-876I,D2,D1,4,23
PARTICULAR,GUA-573H,A2,K4,3,24
